Unnamed: 0,title,description,job_level,languages,assessment_length,downloads,url,test_type,content_hash
10,Front Desk Associate Solution,the front desk associate solution is designed for entrylevel customer service positions in the hospitality industry the solution is appropriate for positions in which the majority of work is done at the front or guest checkin desk sample tasks may include welcoming guests warmly issuing keys to guests tabulating guest bills and accpeting payment potential job titles that use this solution are front desk clerk guest desk attendant guest checkin associate or front office agent multiple configurations of this solution are available,entrylevel,english usa,50.0,"[{'name': 'Fact Sheet Hospitality Suite Front Desk Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Front Desk Associate One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,a b p,59a3587cea7941c00260fa449491705c
11,Server Solution,the server solution is designed for entrylevel positions in the hospitality industry sample tasks include greeting customers taking customer food and drink orders and delivering food items to guests the solution is focused on work ethic customer focus and sales potential job titles that use this solution are server and waiterwaitress multiple configurations of this solution are available,entrylevel,english usa,40.0,"[{'name': 'Fact Sheet Hospitality Suite Server One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Server One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/server-solution/,b a p,b52d0645c408ab30aa484a6f9aee8bb5
12,Industrial - Semi-skilled 7.1 (International),our industrial semiskilled 71 solution is designed for entrylevel positions and measures the behaviors and experiences that underlie successful and safe performance for production workers the solution assesses behaviors and competencies foundational to industrial roles including following policies and procedures applying relevant trade skills wearing required protective equipment working with or monitoring equipment producing high quality work effectively working with others and maintaining an orderly work environment potential job titles that use this solution include production and assembly worker construction worker extraction technicianplease note this package is in international norm,entrylevel,french canada finnish english international french danish norwegian swedish,24.0,"[{'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial Semi Skilled 7.1 (International) JFA Interview Report UKE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial Semi Skilled 7.1 (International) JFA Detailed Report UKE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial Semi Skilled 7.1 (International) JFA Candidate Report UKE.pdf', 'language': 'Multi-language'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/7.1Industrial_SemiSkilled_FactSheet(USE).pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledCandidateReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledDetailedReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledInterviewReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledCandidateReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledDetailedReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledInterviewReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledCandidateReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledDetailedReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledInterviewReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledCandidateReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledDetailedReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Candiate_Samplereport_IndustrialSemi-skilledInterviewReport_SVE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,b,f573f83ff41a6d332fdbdedbb68f7cf4
13,Store Manager 7.1 (Americas),our store manager 71 solution is designed for candidates applying to entrylevel leadership positions who tend to supervise hourly employees in a retail or restaurant setting sample tasks for these jobs include but are not limited to planning and preparing work schedules assigning employees to specific duties coaching employees on attendance conduct schedule adherence and work tasks developing employees skills training subordinates prioritizing multiple tasks and priorities and making daytoday decisions with minimal guidance from others,front line manager manager,english usa latin american spanish portuguese brazil french canada,34.0,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/StoreManager_7.1(Americas)_CandidateReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/StoreManager_7.1(Americas)_DetailedReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/StoreManager_7.1(Americas)_InterviewReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Candidate Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Detailed Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Interview Report_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Candidate Report_USE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Detailed Report_USE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Interview Report_USE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_CandidateReport_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Detailed Report_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Store Manager 7.1(Americas)_Interview Report_BRA.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,b c,8e5e12c498e9cdcd4022d4c8ea3a38ef
14,Entry level Sales 7.1 (Americas),the entry level sales 71 solution is for entrylevel positions in which employees proactively sell products or services to customers and have their compensation andor performance based on sales revenue sample tasks for these jobs include but are not limited to promoting products to customers persuading customers to buy products and completing a transaction with a customer,entrylevel,portuguese brazil,20.0,,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,b c p,336c35183e65741a51ee134e361a01f9
15,Retail Manager w/ Sales Solution,the retail manager with sales solution is an assessment used for job candidates applying to entrylevel leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service sample tasks for these jobs include but are not limited to planning and preparing work schedules assigning employees to specific duties promoting products to customers training subordinates building ongoing customer relationships and making daytoday decisions with minimal guidance from others potential job titles that use this solution are assistant manager sales supervisor retail manager and floor leader there are multiple configurations and versions of this solution available,front line manager manager supervisor,english usa,43.0,"[{'name': 'Fact Sheet Retail Manager with Sales One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Retail Manager with Sales One Sitting _USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,a b p,5a9b9e5c5c97ef1e9aeb31e10938c92f
16,Sales Engineer Solution,the sales engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities the solution is focused on positions that involve the design of telecommunications networks for specific customer applications and places an emphasis on reasoning ability and sales ability sample tasks may include designing network solutions to meet customer needs communicating technical information to all levels of clients participating in the sales process assisting or owning the sales process and ensuring proper implementation of contracted equipment and services potential job titles that use this solution are sales engineer senior technical consultant and technical sales lead there are multiple configurations of this solution available,professional individual contributor,english usa,61.0,"[{'name': 'Fact Sheet Telecommunications Suite Sales Engineer One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Telecommunications Suite Sales Engineer One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,a b k p s,8af283ddd970e29317f3d0df2a4f5ddc
17,Accounts Receivable (New),multiplechoice test that measures the knowledge of processing receivables and invoices,entrylevel graduate midprofessional professional individual contributor,english usa,13.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Accounts Receivable (New).pdf', 'language': 'Multi-language'}, {'name': 'Sample Report', 'url': 'https://service.shl.com/docs/Accounts Receivable (New) Sample Report.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,k,08e50672b591e461b002e5505caf2235
18,Insurance Director Solution,the insurance director solution is for seniorlevel management positions in the insurance companies that oversee sales functions across multiple brokerages offices or agencies or geographic territories sample tasks for this job includes but is not limited to directing a group of sales managers or agency managers having profit and loss responsibility for a district or region and aligning work with overall company goals potential job titles that use this solution are regional managers associate directors and managing directors multiple configurations of this solution are available,director front line manager manager supervisor,english usa,49.0,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Insurance Director One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,a b p,ffb312018ef0d1ae45ec663908b5b299
19,"Bookkeeping, Accounting, Auditing Clerk Short Form",the bookkeeping accounting and auditing clerk solution is for entrylevel positions that involve entering numerical data into computer systems and maintaining financial records sample tasks for this job include but are not limited to entering financial data into computers checking financial records for accuracy perform routine computations on financial data potential job titles that use this solution are accounting clerk bookkeeper accounting associate auditing clerk and accounts receivable clerk,entrylevel,english usa,49.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Bookkeeping, Accounting, Auditing Clerk - Short Form.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,p s k b a,9fa1dfa383fea952841d529a5269de4e
20,Branch Manager - Short Form,this solution is for mid to upperlevel financial institution managerial positions candidates answer a series of multiple choice questions to measure management potential management judgment leadership potential team management branch manager problem solving business leadership leadership motivation interpersonal leadership self leadership and branch manager judgment there are multiple configurations and versions of this solution available,front line manager manager supervisor,english usa,50.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Branch Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,a b p,a35d0347603e906d4a9950f8547180d5
21,Entry Level Customer Service 7.1 (South Africa),the entry level customer service solution retail and contact center 71 is for entrylevel positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person taking orders solving product or service issues and responding positively to difficult or irate customers important please note that you will need to select the correct package depending on which norm you intend to use the package available for this product is international south africa and americas,entrylevel,english international,19.0,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_SouthAfrica_CandidateReport_UKE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_SouthAfrica_DetailedReport_UKE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_SouthAfrica_InterviewReport_UKE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,c p,d1df74673ef163796a89e7893321f8ab
22,Workplace Safety Solution,the workplace safety solution is designed for entrylevel positions to measure the competencies and experiences that underlie successful and safe performance in the workplace this solution measures ones general tendency to behave safely in the workplace using a variety of assessment types including personality traits safetyrelated situational judgment and biodata potential job titles that use this solution are material handler shipping operator driver forklift operator crewman mechanic and receiver,entrylevel,english usa english australia,21.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Workplace Safety Solution.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,b p,1bb384077cc2d504689cd7bd9889c1e3
23,Teradata Development (New),multichoice test that measures the knowledge on teradata concepts of rdbms components performance availability features utilities workload management basic extensions logical expressions subqueries sql optimization physical database design table partitioning query analysis and indexes,midprofessional professional individual contributor,english usa,9.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Teradata Development (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,k,5848b926f4a2379af97d115d9b1a91f0
24,Visual Comparison - UK,this assessment measures ability to efficiently compare information and detect errors the test taker is required to examine four pairs of numbers and select the set of numbers that are notidentical,entrylevel,english international,5.0,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_Visual_Comparison_UKE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/,k,ed782b0e3c0511d2bc57f74d596ffeee
25,Manager 7.1 (International),our manager 71 solution is designed for candidates applying to entrylevel leadership positions who tend to supervise salaried employees sample tasks for these jobs include but are not limited to planning projects with subordinates collaborating with senior managers on developing new methods and procedures coaching employees on performancerelated issues developing employees skills coordinating activities with other managers to accomplish organizational goals setting and meeting department goals prioritizing multiple tasks and priorities making selected strategic and daytoday decisions and solving employees and customers problemsreport language availability english usa danish finnish canadian french italian norwegian french german english international important please note that you will need to select the correct package depending on which norm you intend to use the package available for this product is international,director executive front line manager manager,english usa english international french german portuguese brazil danish finnish italian norwegian swedish dutch french canada,40.0,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE CandidateReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE DetailedReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 UKE InterviewReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Candidate Report_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Detailed Report_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1CandidateReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1DetailedReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate2204@shl.com_Manager7.1InterviewReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Candidate Report_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1(International)_Candidate Report_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH CandidateReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH DetailedReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 FRENCH InterviewReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN CandidateReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN DetailedReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager7.1 GERMAN InterviewReport_1099280.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager7.1_International_Candidate Report_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Interview Report_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Candidate Report_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1(International)_Detailed Report_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Candidate Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Detailed Report Romanian.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager 7.1 JFA Interview Report Romanian.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,b c p,2c582feaac334b168633984f4ed3613c
